LOCATION_ID,LAT,LON,LOCATION,TOTAL_CARS,AREA_CODE
3993,43.699540537,-79.275801042,BURN HILL RD AT MACK AVE & WARDEN AVE,7558,EA
3995,43.7120449982176,-79.2810030013331,ST CLAIR AVE AT WARDEN AVE (PX 473),106345,EA
3996,43.7278459996581,-79.2876159989679,EGLINTON AVE AT WARDEN AVE (PX 456),68654,EA
3997,43.7250959988176,-79.2865210023524,# 800 WARDEN AVE AT WARDEN AVE 1553M S OF CIVIC RD (PX 1638),14416,EA
3998,43.7611930035313,-79.3007510030287,ELLESMERE RD AT WARDEN AVE (PX 694),144363,EA
3999,43.8196309971665,-79.3244360012383,STEELES AVE AT WARDEN AVE (PX 1191),80513,EA
4000,43.6524880002174,-79.3607059987526,EASTERN AVE AT TRINITY ST (PX 2239),9153,SO
4004,43.6409909982873,-79.4172440031165,KING ST AT SUDBURY ST (PX 1851),17943,SO
4005,43.6511850008423,-79.3749460039816,ADELAIDE ST AT CHURCH ST (PX 17),37836,SO
4006,43.6457329957392,-79.4006360006722,ADELAIDE ST AT PORTLAND ST (PX 1488),14288,SO
4007,43.6462319958985,-79.3981509938974,ADELAIDE ST AT BRANT ST (PX 1807),7530,SO
4008,43.648637999412,-79.3866210000334,ADELAIDE ST AT SIMCOE ST (PX 198),24571,SO
4009,43.6533780017567,-79.3691479979037,RICHMOND ST AT SHERBOURNE ST (PX 256),28677,SO
4010,43.6545590020721,-79.3640229981739,PARLIAMENT ST AT RICHMOND ST (PX 223),13820,SO
4011,43.6494570044027,-79.3891800017963,DUNCAN ST AT RICHMOND ST (PX 267),8419,SO
4012,43.6504399994829,-79.3846500033475,RICHMOND ST AT YORK ST (PX 74),31620,SO
4013,43.6568330004778,-79.358924001293,QUEEN ST AT SUMACH ST (PX 1865),18938,SO
4015,43.624973112,-79.508856888,LOMA RD AT THE QUEENSWAY,17073,WE
4016,43.6377699977746,-79.4664519992512,ELLIS AVE AT THE QUEENSWAY (PX 561),32004,SO
4017,43.6393390006925,-79.4513100015762,GLENDALE AVE AT THE QUEENSWAY (PX 1879),26206,SO
4018,43.783594001106,-79.2993480037971,BAY MILLS BLVD AT BIRCHMOUNT RD & BONIS AVE (PX 1060),33463,EA
4020,43.8006469967414,-79.3070660045927,BIRCHMOUNT RD AT L AMOREAUX DR & SILVER SPRINGS BLVD (PX 1167),13210,EA
4021,43.6619929963657,-79.4896699973536,JANE ST AT ST JOHNS RD (PX 523),10987,WE
4022,43.6789389990978,-79.4968650010086,EAST DR AT JANE ST & OUTLOOK AVE (PX 526),14640,WE
4023,43.7190769994865,-79.5081580027702,BEVERLY HILLS DR AT JANE ST (PX 1409),37690,NO
4024,43.7209150020263,-79.5086339938217,JANE ST AT WILSON AVE (PX 532),85351,NO
4025,43.7345670024801,-79.5119229950945,GILTSPUR DR AT JANE ST (PX 1008),28967,NO
4026,43.7412399967388,-79.5136850048327,CLAIR RD AT JANE ST & SPENVALLEY DR (PX 1127),28012,NO
4027,43.7470939967857,-79.5151280048406,GRANDRAVINE DR AT JANE ST (PX 962),14163,NO
4028,43.7491469980962,-79.5156840050534,EDDYSTONE AVE AT JANE ST (PX 1172),15083,NO
